                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3646,                  2.045,                 1.5164,                0.50721,                0.36155,                0.37956,                0.25401,                 1.3119,                 1.8024,                 1.4641,               0.003466,               0.003466,               0.003466
                     35,                 1.3612,                 2.0364,                 1.5113,                0.50793,                0.36257,                0.38203,                0.25591,                 1.3092,                 1.7948,                 1.4606,               0.003268,               0.003268,               0.003268
                     36,                  1.357,                 2.0238,                 1.5106,                0.50669,                0.36625,                 0.3846,                0.25771,                 1.3077,                 1.7886,                 1.4578,                0.00307,                0.00307,                0.00307
                     37,                 1.3546,                 2.0165,                 1.5072,                0.50499,                0.36855,                0.38716,                0.25947,                 1.3056,                 1.7819,                 1.4549,               0.002872,               0.002872,               0.002872
                     38,                 1.3477,                 2.0027,                 1.5009,                0.50778,                0.36981,                0.38929,                0.26126,                  1.304,                 1.7765,                 1.4524,               0.002674,               0.002674,               0.002674
                     39,                 1.3468,                 1.9949,                 1.4981,                0.51307,                0.36877,                0.39176,                0.26299,                 1.3021,                  1.771,                 1.4498,               0.002476,               0.002476,               0.002476
                     40,                 1.3419,                 1.9795,                 1.4953,                0.51755,                0.37127,                0.39406,                0.26487,                 1.3004,                 1.7659,                 1.4471,               0.002278,               0.002278,               0.002278
                     41,                   1.34,                  1.971,                 1.4929,                0.52178,                0.37106,                0.39545,                 0.2663,                 1.2988,                 1.7611,                 1.4447,                0.00208,                0.00208,                0.00208
                     42,                 1.3364,                 1.9597,                 1.4877,                 0.5254,                0.37562,                0.39803,                 0.2683,                 1.2974,                 1.7562,                 1.4423,               0.001882,               0.001882,               0.001882
                     43,                 1.3327,                  1.951,                 1.4835,                0.53056,                0.37598,                0.40012,                0.26955,                 1.2956,                 1.7506,                 1.4399,               0.001684,               0.001684,               0.001684
                     44,                 1.3284,                 1.9373,                 1.4802,                0.53021,                0.37857,                0.40179,                0.27082,                 1.2938,                  1.745,                 1.4372,               0.001486,               0.001486,               0.001486
                     45,                 1.3229,                 1.9203,                 1.4771,                0.53443,                0.37877,                0.40264,                0.27181,                 1.2927,                 1.7398,                 1.4353,               0.001288,               0.001288,               0.001288
                     46,                 1.3205,                 1.9133,                 1.4742,                0.53693,                0.38079,                 0.4046,                0.27297,                 1.2916,                 1.7345,                 1.4336,                0.00109,                0.00109,                0.00109
                     47,                 1.3138,                 1.9001,                  1.469,                 0.5373,                0.38257,                 0.4063,                0.27415,                 1.2905,                 1.7291,                 1.4318,               0.000892,               0.000892,               0.000892
                     48,                 1.3106,                  1.892,                 1.4664,                0.53685,                 0.3852,                0.40726,                0.27523,                 1.2894,                 1.7242,                 1.4301,               0.000694,               0.000694,               0.000694
                     49,                 1.3051,                 1.8764,                 1.4621,                0.53773,                0.38609,                0.40869,                0.27613,                 1.2885,                 1.7195,                 1.4285,               0.000496,               0.000496,               0.000496
