                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.343,                 1.8455,                 1.3692,                0.52303,                0.35444,                0.37635,                0.25012,                 1.2986,                 1.6309,                 1.3202,               0.003466,               0.003466,               0.003466
                     35,                 1.3399,                 1.8361,                 1.3658,                0.53034,                0.35474,                0.37904,                0.25236,                 1.2961,                 1.6242,                 1.3173,               0.003268,               0.003268,               0.003268
                     36,                 1.3339,                 1.8233,                 1.3624,                0.53271,                 0.3548,                 0.3817,                0.25406,                 1.2933,                 1.6166,                 1.3141,                0.00307,                0.00307,                0.00307
                     37,                 1.3294,                 1.8149,                 1.3591,                 0.5277,                0.35925,                0.38377,                0.25592,                 1.2905,                 1.6092,                 1.3111,               0.002872,               0.002872,               0.002872
                     38,                 1.3237,                  1.801,                 1.3538,                0.52693,                0.36118,                0.38643,                0.25771,                 1.2883,                 1.6028,                 1.3084,               0.002674,               0.002674,               0.002674
                     39,                 1.3224,                 1.7916,                 1.3511,                 0.5383,                0.35939,                0.38851,                0.25929,                 1.2858,                 1.5969,                 1.3056,               0.002476,               0.002476,               0.002476
                     40,                 1.3176,                 1.7763,                 1.3486,                0.54398,                0.35862,                0.39081,                0.26115,                 1.2836,                 1.5902,                 1.3027,               0.002278,               0.002278,               0.002278
                     41,                 1.3135,                 1.7657,                 1.3443,                0.53994,                0.36062,                0.39288,                 0.2625,                 1.2814,                 1.5839,                 1.3001,                0.00208,                0.00208,                0.00208
                     42,                 1.3085,                 1.7548,                 1.3401,                0.53504,                0.36408,                0.39494,                0.26396,                 1.2799,                 1.5781,                  1.298,               0.001882,               0.001882,               0.001882
                     43,                 1.3034,                  1.744,                 1.3357,                 0.5287,                0.36721,                0.39708,                 0.2658,                 1.2785,                 1.5725,                 1.2959,               0.001684,               0.001684,               0.001684
                     44,                 1.2978,                 1.7312,                 1.3321,                0.53601,                0.36857,                0.39923,                0.26722,                 1.2764,                 1.5663,                 1.2935,               0.001486,               0.001486,               0.001486
                     45,                 1.2918,                 1.7141,                 1.3284,                0.53826,                0.36964,                0.40141,                0.26889,                  1.274,                 1.5598,                 1.2909,               0.001288,               0.001288,               0.001288
                     46,                 1.2885,                 1.7069,                 1.3252,                0.53288,                0.37551,                 0.4034,                0.27019,                 1.2714,                 1.5536,                 1.2881,                0.00109,                0.00109,                0.00109
                     47,                 1.2812,                 1.6919,                 1.3216,                0.53282,                0.37864,                0.40491,                0.27157,                 1.2689,                 1.5477,                 1.2854,               0.000892,               0.000892,               0.000892
                     48,                 1.2778,                 1.6822,                 1.3188,                0.52723,                0.38404,                0.40726,                0.27339,                 1.2668,                 1.5416,                 1.2831,               0.000694,               0.000694,               0.000694
                     49,                 1.2714,                 1.6675,                 1.3145,                0.53264,                0.38554,                0.40937,                0.27505,                 1.2647,                 1.5352,                  1.281,               0.000496,               0.000496,               0.000496
